page_label,group,slice,note,bets,wins,losses,pushes,win_rate,roi_per_1_at_minus_110,p_value_gt_breakeven,avg_pick_prob_edge,avg_filter_score,avg_abs_he_vs_market_edge,new_transient_rate,persistent_rate,neutral_rate
NCAA Caution,ncaa_caution,full,Rows that clear the internal score threshold but remain caution-only.,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
NCAA Caution,ncaa_caution,feb15_plus,Rows that clear the internal score threshold but remain caution-only.,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
NCAA Caution,ncaa_caution,march_only,Rows that clear the internal score threshold but remain caution-only.,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
NCAA Caution,ncaa_caution,conference_tournaments,Rows that clear the internal score threshold but remain caution-only.,0,0,0,0,,,,,,,,,
NCAA Caution,ncaa_caution,ncaa_tournament,Rows that clear the internal score threshold but remain caution-only.,86,42,44,0,0.4883720930232558,-0.06765327695560253,0.7782709504017253,0.07964049071910496,0.6336268468620504,3.824506048307152,0.0,0.3372093023255814,1.0
Disagreement-Led,disagreement_led,full,Promoted picks that were disagreement-led rather than raw-edge-led.,1189,700,489,0,0.5887300252312868,0.12393913907791117,3.949026169694628e-06,0.034888402795800084,0.6050512776575918,6.375628371756,0.06476030277544155,0.44070647603027757,0.17830109335576114
Disagreement-Led,disagreement_led,feb15_plus,Promoted picks that were disagreement-led rather than raw-edge-led.,171,98,73,0,0.5730994152046783,0.09409888357256775,0.11220924561234383,0.03548879444715602,0.599399473669769,4.58760428446887,0.05847953216374269,0.4619883040935672,0.2982456140350877
Disagreement-Led,disagreement_led,march_only,Promoted picks that were disagreement-led rather than raw-edge-led.,86,53,33,0,0.6162790697674418,0.17653276955602532,0.05322819970879991,0.03551400536764451,0.6053270280005425,4.35133170119302,0.11627906976744186,0.5,0.5930232558139535
Disagreement-Led,disagreement_led,conference_tournaments,Promoted picks that were disagreement-led rather than raw-edge-led.,55,38,17,0,0.6909090909090909,0.31900826446280994,0.008816021065145192,0.035987000697324426,0.6125566263500892,3.816662292773881,0.18181818181818182,0.45454545454545453,0.9090909090909091
Disagreement-Led,disagreement_led,ncaa_tournament,Promoted picks that were disagreement-led rather than raw-edge-led.,0,0,0,0,,,,,,,,,
Raw-Edge-Led,raw_edge_led,full,Promoted picks that also pass the raw edge baseline.,1609,969,640,0,0.6022374145431946,0.14972597321882594,1.4680725631230054e-10,0.16059221729331521,0.6150552599866361,5.703127012246864,0.07582349285270354,0.4064636420136731,0.15910503418272218
Raw-Edge-Led,raw_edge_led,feb15_plus,Promoted picks that also pass the raw edge baseline.,164,93,71,0,0.5670731707317073,0.08259423503325942,0.15120428708560024,0.1382783283973375,0.5994147882401013,4.1664577867852115,0.036585365853658534,0.40853658536585363,0.2804878048780488
Raw-Edge-Led,raw_edge_led,march_only,Promoted picks that also pass the raw edge baseline.,70,40,30,0,0.5714285714285714,0.09090909090909091,0.24933816311533766,0.13759336770641376,0.6069721039275813,3.588832056900188,0.08571428571428572,0.38571428571428573,0.6571428571428571
Raw-Edge-Led,raw_edge_led,conference_tournaments,Promoted picks that also pass the raw edge baseline.,50,27,23,0,0.54,0.030909090909090907,0.46603281113807604,0.132769835488858,0.6130166805786039,3.468606678194719,0.12,0.44,0.92
Raw-Edge-Led,raw_edge_led,ncaa_tournament,Promoted picks that also pass the raw edge baseline.,0,0,0,0,,,,,,,,,
